"outcome","c_ct","c_esi","delta_c","se_delta","ci_lo","ci_hi","tost_p_low","tost_p_high","equivalent_within_margin","method"
"all-cause",0.703408234170053,0.700073563195547,0.00333467097450546,0.0015863022254229,0.000225518612676568,0.00644382333633435,2.7760942385054e-49,4.0627735017835e-26,TRUE,"paired_concordance"
"respiratory",0.852709870553227,0.851201607862841,0.00150826269038506,0.0013433068238508,-0.0011246186843625,0.00414114406513263,5.31690405103126e-58,2.04570705629482e-43,TRUE,"paired_concordance"
