"outcome","category","ref_ct","ref_esi","raw_ct","raw_esi","rr_ct","rr_ct_lo","rr_ct_hi","rr_esi","rr_esi_lo","rr_esi_hi","raw_p","B_eff"
"All-cause mortality","AFL-only-NoCOPD",1.49148045447619,1.58816393106326,1.60384014145116,1.97609271961094,1.07533433417633,0.723461612464049,1.51335118059521,1.24426243472735,0.724374702977431,1.83143112879714,0.578,1000
"All-cause mortality","COPD-minor",1.49148045447619,1.58816393106326,2.75803147033812,2.80701565626912,1.84919048859191,1.58642155828841,2.13821479135015,1.76745964403677,1.46037936315631,2.07690181334488,0.492,1000
"All-cause mortality","COPD-major",1.49148045447619,1.58816393106326,5.05790097201401,4.95323070059514,3.39119494113005,3.08922740698331,3.7078662741679,3.11884094816269,2.86617640627979,3.38193972006004,0,1000
"Respiratory mortality","AFL-only-NoCOPD",0.0313741843174604,0.0354896967835366,0.0534613380483721,0.109782928867275,1.70399132954095,0,7.00561824861987,3.09337466411384,0,13.0101214166256,0.367758186397985,397
"Respiratory mortality","COPD-minor",0.0313741843174604,0.0354896967835366,0.122332041023062,0.149707501667686,3.8991305649652,1.60192743143025,9.10527162987257,4.21833701710109,1.47775184453384,9.77914903649921,0.864,1000
"Respiratory mortality","COPD-major",0.0313741843174604,0.0354896967835366,1.758629516769,1.71028266527201,56.0533940571734,36.0480701546682,111.788316767915,48.1909630195936,31.6637429971407,91.1884663065198,0.298,1000
"Exacerbations","AFL-only-NoCOPD",12.38311483639,13.7303405264419,14.199890770071,13.2482826300294,1.14671396960174,0.810808054046906,1.52790243993543,0.96489104582045,0.580563769042997,1.413661608557,0.402,1000
"Exacerbations","COPD-minor",12.38311483639,13.7303405264419,38.2094507570336,44.1854227120875,3.08560901371504,2.68014566986668,3.58831947944957,3.21808644344947,2.67445193403513,3.87121908587703,0.52,1000
"Exacerbations","COPD-major",12.38311483639,13.7303405264419,55.2824079625859,54.1368428626745,4.4643378255791,4.02891001467395,4.92975550617692,3.94286236079999,3.58386665200752,4.31863584005333,0,1000
