"cause","group","n_events_bhatt","bhatt_HR","bhatt_LCI","bhatt_UCI","bhatt_p","n_events_esi","esi_HR","esi_LCI","esi_UCI","esi_p"
"CVD","AFL-only-NoCOPD",7,0.994077842519237,0.464169689511537,2.12894288299525,0.987803556849311,3,0.721087816838,0.229577738523944,2.26488701794561,0.575499472232496
"CVD","COPD-minor",56,1.66656754459489,1.21233482224115,2.29099035162795,0.0016557462661579,36,1.87225279481895,1.29550719080074,2.705759221252,0.000843912081059346
"CVD","COPD-major",358,2.33607964240308,1.89719250075527,2.8764967674485,1.33537316057577e-15,362,2.23451379218792,1.83172366362251,2.72587617152007,2.22355182526441e-15
"Cancer","AFL-only-NoCOPD",7,1.16273883284469,0.540128098985923,2.50303880865169,0.69991853953893,6,1.6053116075617,0.705691739530716,3.65177203163244,0.259017470061818
"Cancer","COPD-minor",57,2.31876285967409,1.66897262408689,3.2215394799214,5.35934419569039e-07,37,2.5712442545409,1.7711706916109,3.73272720005125,6.84446361290307e-07
"Cancer","COPD-major",293,2.05435668127944,1.62883548786082,2.59104213124689,1.20348058816462e-09,294,1.87995083193966,1.50916789750548,2.34183031348094,1.78411908379073e-08
"Other","AFL-only-NoCOPD",5,0.597486060967921,0.245136092111027,1.45629144193616,0.257204972460164,3,0.618828871592024,0.197468402143255,1.939293416868,0.410225892181072
"Other","COPD-minor",71,1.74284173182906,1.3119258136459,2.31529654391325,0.000126333818583441,44,1.82076322283406,1.30575444116993,2.53889905260802,0.00041140412225328
"Other","COPD-major",359,1.92213275104623,1.58333532723243,2.3334250484403,3.97676635069555e-11,361,1.79918446697446,1.49483237166475,2.16550350899691,5.2407435678438e-10
