"group","n","IRR","LCI","UCI","p"
"Both-COPD",467,3.16656387632477,2.53874676279338,3.94963646228823,1.55363812325737e-24
"Bhatt-only-COPD (ESI missed)",460,2.01084462495327,1.60902876950374,2.51300423108691,8.15632586385881e-10
"ESI-only-COPD (Bhatt missed)",79,1.58695304981896,0.960933606886428,2.6208053962123,0.0711832134725867
