"stratum","n_FF","r_FF","n_LAA","r_LAA"
"Never",106,-0.396675542957595,105,0.288466445504269
"GOLD0",4308,-0.26167384485739,4031,0.0797196046520089
"PRISm",1238,-0.276901633309311,1119,0.0495752872047014
"GOLD1",773,-0.608695188557392,734,0.243003684411934
"GOLD2",1890,-0.876038902956408,1777,0.509832724958713
"GOLD3",1141,-0.918660636820274,1054,0.57737553832008
"GOLD4",590,-0.849143560209561,528,0.440240185220633
"All strata",10046,-0.890271071018743,9404,0.772890529767296
