"group","n","n_deaths_all","all_HR","all_LCI","all_UCI","all_p","resp_HR","resp_LCI","resp_UCI","resp_p"
"Both-COPD",548,134,2.02359782343009,1.66297237383793,2.4624270465422,1.93723779855914e-12,6.0998450379278,2.19424888098745,16.9571053717425,0.000527474079460297
"CT-only-COPD (ESI missed)",538,114,1.53030082691635,1.24547288076706,1.88026624828523,5.14294156554038e-05,2.90049540336537,0.906991998511462,9.27557640943986,0.0725939315170021
"ESI-only-COPD (Bhatt missed)",94,16,1.25714150870612,0.763654239167517,2.06952923437543,0.368241385864461,4.8587945736931,0.620863536874124,38.0242731409365,0.132092618824923
