"cause","group","n_events","HR","LCI","UCI","p"
"CVD","Both-COPD",18,1.46793928359553,0.870283836318833,2.47602638403307,0.150124353262988
"CVD","CT-only-COPD",19,1.37433176337124,0.828987212010495,2.27842814514632,0.217648703992826
"CVD","ESI-only-COPD",5,2.29049884654225,0.92576545395036,5.66707792305747,0.0729600820233466
"Cancer","Both-COPD",33,2.85144464451661,1.88124355010384,4.32200102974103,7.8906042243738e-07
"Cancer","CT-only-COPD",24,1.7467946691366,1.10614752122263,2.75848524503443,0.0167238282745914
"Cancer","ESI-only-COPD",3,1.45142258411216,0.458671484778797,4.59288965540725,0.526178717813827
"Other","Both-COPD",34,2.26698964441009,1.51701377595883,3.38773591203175,6.51645726195789e-05
"Other","CT-only-COPD",26,1.78461867704232,1.14989107306867,2.76970914640544,0.00980131650688152
"Other","ESI-only-COPD",3,1.12389630834578,0.355421105077601,3.55393333110451,0.842380103229093
