"group","bhatt_IRR","bhatt_LCI","bhatt_UCI","bhatt_p","esi_IRR","esi_LCI","esi_UCI","esi_p"
"AFL-only-NoCOPD",1.34605487068578,1.0019241836322,1.8083840519035,0.0485227912469345,1.0062734126984,0.664462365530091,1.52391803303391,0.976438780364753
"COPD-minor",2.16469820495805,1.88248847706358,2.48921487469502,2.3188735084505e-27,2.09603399013068,1.76800184370103,2.48492868004386,1.56237918707182e-17
"COPD-major",3.82421798582386,3.47684253629017,4.20630012732857,9.02479394213076e-168,3.44834750532654,3.14475571599841,3.78124776337882,9.39655055963203e-153
