"outcome","category","HR_CT","HR_ESI","obs_logHR_diff","mean_logHR_diff","ci_lo_logHR","ci_hi_logHR","HR_diff_unlogged","two_sided_p","two_sided_p_reported"
"all-cause","AFL-only-NoCOPD",0.89740826456515,0.91334211919344,-0.0175996272678652,-0.0157084211496598,-0.57290214103874,0.582746952478759,-0.015933854628291,0.938,"0.94"
"all-cause","COPD-minor",1.90733132531712,1.94348500668499,-0.0187777035135727,-0.016129309880396,-0.178727324261746,0.134861172523637,-0.0361536813678762,0.848,"0.85"
"all-cause","COPD-major",2.59118188534158,2.39461796503384,0.0788903934295062,0.0794883383850124,0.0453445695418862,0.115061040663997,0.196563920307745,NA,"<0.002"
"respiratory","AFL-only-NoCOPD",1.4171092453556,2.19232148437903,-0.436341966948386,-0.490770427374127,-1.8061845192851,0.748188065572653,-0.775212239023427,0.456730769230769,"0.46"
"respiratory","COPD-minor",4.80416352784544,5.68426399770497,-0.168218711344274,-0.146045210115543,-1.02623107211435,0.764301740034466,-0.880100469859537,0.701923076923077,"0.70"
"respiratory","COPD-major",36.2658152782215,30.9519765085149,0.158438711260929,0.162514294448772,-0.181798449162204,0.510188943621627,5.31383876970662,0.293269230769231,"0.29"
