"group","n_mort","n_exac","py_mort","py_exac","ev_allcause","ev_resp","ev_exac","raw_allcause","raw_resp","raw_exac","rr_allcause","rr_allcause_lo","rr_allcause_hi","rr_resp","rr_resp_lo","rr_resp_hi","rr_exac","rr_exac_lo","rr_exac_hi","B_eff_allcause","B_eff_resp","B_eff_exac"
"Both-noCOPD",4109,3639,40589.7823408625,33601.1999999997,602,12,4135,1.48313187526989,0.0295640905369413,12.3061081151865,1,1,1,1,1,1,1,1,1,1000,1000,1000
"CT-only-COPD",538,454,4493.72484599589,3550.10000000001,114,4,966,2.53687094574958,0.0890130156403362,27.2105011126447,1.71048238396733,1.3802665308323,2.08169524746074,3.01084910862086,0.539621626406252,8.6492161349834,2.21113782342488,1.79520910464827,2.72982397285772,1000,979,1000
"ESI-only-COPD",94,78,845.557837097878,663.2,16,1,108,1.89224193757285,0.118265121098303,16.2846803377563,1.27584199970655,0.728122860996559,1.98883151576782,4.00029626991323,0,17.1455510556185,1.32330060692869,0.816278454227066,1.9664086074032,1000,630,1000
"Both-COPD",548,464,4498.19575633128,3437.70000000001,134,7,1704,2.9789721759306,0.155617949488912,49.5680251330831,2.00856864153669,1.66345471643417,2.41598868133258,5.26374891507189,1.761959623543,13.6303401968619,4.02792049843226,3.30252945712276,4.87674201904399,1000,1000,1000
