"stratum","n","ESI_mean","ESI_sd"
"Never",106,0.82622641509434,0.219529595922904
"GOLD0",4054,0.903252343364578,0.36785510791966
"PRISm",1129,0.906102745792737,0.452898322080313
"GOLD1",740,1.44081081081081,0.512132786709283
"GOLD2",1789,2.18114030184461,1.20425965490593
"GOLD3",1053,4.84478632478632,2.14274349675659
"GOLD4",531,8.29817325800377,1.97432354217092
