"model","esi_HR","esi_LCI","esi_UCI","esi_p","ff_HR","ff_LCI","ff_UCI","ff_p"
"ESI only",1.09830425814698,1.06995310089956,1.12740665216972,2.10646617691211e-12,NA,NA,NA,NA
"FEV1/FVC only",NA,NA,NA,NA,0.180940970141389,0.105556269881963,0.310162861119644,5.05452743522279e-10
"ESI + FEV1/FVC",1.07709865150704,1.032075817413,1.12408554246169,0.000651564277995339,0.602552441345403,0.251230457693409,1.44516492110355,0.256386277374314
"ESI + FEV1/FVC (ESI<10)",1.07027918955519,1.0203757667304,1.12262323444377,0.00530454926632118,0.731341420599067,0.291369400996489,1.83567756825057,0.505194903910905
