"stratum","n","total_exac","IRR","LCI","UCI","p"
"Never",106,64,NA,NA,NA,NA
"GOLD0",3744,4868,0.994244035209094,0.791766567815991,1.24850081037849,0.960372669835677
"PRISm",1093,2487,0.938511432562588,0.674758466135158,1.30536147859796,0.70618576127626
"GOLD1",682,1331,1.1067155626043,0.760007604682833,1.61158826433282,0.59694048647115
"GOLD2",1713,6353,0.940659374640452,0.805047090992405,1.09911590141665,0.441194879400297
"GOLD3",1050,6385,1.05604673900976,0.967451528901233,1.1527551320734,0.222532960206843
"GOLD4",510,2966,0.967628624931248,0.868518277199197,1.07804887976076,0.55059451334074
