"outcome","category","IRR_CT","IRR_ESI","obs_logIRR_diff","mean_logIRR_diff","ci_lo_logIRR","ci_hi_logIRR","IRR_diff_unlogged","two_sided_p","two_sided_p_reported"
"exacerbations","AFL-only-NoCOPD",1.34605487068578,1.0062734126984,0.290924179373576,0.292187879983922,-0.123083770889855,0.794155313773626,0.339781457987384,0.196,"0.20"
"exacerbations","COPD-minor",2.16469820495805,2.09603399013068,0.032233971497036,0.0338148693627516,-0.119570233184931,0.18280048642004,0.0686642148273782,0.68,"0.68"
"exacerbations","COPD-major",3.82421798582386,3.44834750532654,0.10345886589502,0.103836332739265,0.0638428226879253,0.145980158124301,0.375870480497327,NA,"<0.002"
