"group","bhatt_IRR_primary","bhatt_IRR_adj","bhatt_LCI_adj","bhatt_UCI_adj","bhatt_p_adj","esi_IRR_primary","esi_IRR_adj","esi_LCI_adj","esi_UCI_adj","esi_p_adj","n_model"
"AFL-only-NoCOPD",1.29178178693257,1.35722776708676,1.00844744878794,1.82663679100512,0.0438515216370147,0.973916464697967,1.00740904890427,0.663469960811843,1.52964422168017,0.972365489902688,8136
"COPD-minor",2.69183535556694,2.13778581768345,1.85720149875838,2.46076056116896,3.53984417040612e-26,2.74854507360934,2.06931126939192,1.74327335515274,2.45632683880332,9.29973339657651e-17,8136
"COPD-major",4.79893902413484,3.68624034432698,3.34621447509214,4.06081797125982,7.7026105132692e-154,4.24554350581883,3.32751319724442,3.03011166415909,3.65410430539645,9.00736269922953e-140,8136
