"sensitivity","framework","outcome","group","estimate","LCI","UCI","p"
"ESI=10 excluded","CT-based","all-cause","AFL-only-NoCOPD",0.898499140879499,0.622261156074592,1.29736638432309,0.567984688917729
"ESI=10 excluded","ESI-based","all-cause","AFL-only-NoCOPD",0.908430089345402,0.56836315092238,1.45196821062173,0.688140952070943
"ESI=10 excluded","CT-based","respiratory","AFL-only-NoCOPD",1.40471710958777,0.183624616657891,10.7460001490156,0.743400237198042
"ESI=10 excluded","ESI-based","respiratory","AFL-only-NoCOPD",2.15191379387677,0.285094241307573,16.2428148497088,0.457418029268205
"ESI=10 excluded","CT-based","exacerbations","AFL-only-NoCOPD",1.29178178693257,0.948423166804625,1.75944688347586,0.104358227607478
"ESI=10 excluded","ESI-based","exacerbations","AFL-only-NoCOPD",0.973916464697967,0.630573532890862,1.50420725059825,0.905141393745388
"ESI=10 excluded","CT-based","all-cause","COPD-minor",1.86258374595576,1.6015907936721,2.16610773763529,6.75950116300141e-16
"ESI=10 excluded","ESI-based","all-cause","COPD-minor",1.89785382190896,1.58685857325743,2.26979844961278,2.26851374553696e-12
"ESI=10 excluded","CT-based","respiratory","COPD-minor",4.55156782010216,2.03076181803082,10.2014768236474,0.000232909479978808
"ESI=10 excluded","ESI-based","respiratory","COPD-minor",5.40922841549005,2.30614312404856,12.6877433346712,0.000104048400049576
"ESI=10 excluded","CT-based","exacerbations","COPD-minor",2.69183535556694,2.33046323433298,3.10924346487454,2.566972700618e-41
"ESI=10 excluded","ESI-based","exacerbations","COPD-minor",2.74854507360934,2.30525727118138,3.27707458777072,1.90140783101635e-29
"ESI=10 excluded","CT-based","all-cause","COPD-major",2.39834361425614,2.17279982542662,2.64729959231924,1.64852471107992e-67
"ESI=10 excluded","ESI-based","all-cause","COPD-major",2.22185239845766,2.02259827042806,2.44073583603297,2.86147851593183e-62
"ESI=10 excluded","CT-based","respiratory","COPD-major",30.2719120801406,17.3688636679411,52.7604268481424,2.43156404960513e-33
"ESI=10 excluded","ESI-based","respiratory","COPD-major",25.953643984301,15.6952914773189,42.9167968646677,6.75229982197397e-37
"ESI=10 excluded","CT-based","exacerbations","COPD-major",4.79893902413484,4.35450466430786,5.2887337441915,1.3720631438816e-219
"ESI=10 excluded","ESI-based","exacerbations","COPD-major",4.24554350581883,3.86290348818891,4.66608594154941,8.68947859440052e-198
"4-criterion alt","CT-based","all-cause","AFL-only-NoCOPD",0.89740826456515,0.62154702585165,1.2957050067231,0.563528717676531
"4-criterion alt","ESI-based","all-cause","AFL-only-NoCOPD",0.858093499964165,0.701765126775873,1.04924628851772,0.135836470441744
"4-criterion alt","CT-based","respiratory","AFL-only-NoCOPD",1.4171092453556,0.185269308571738,10.839348561042,0.736994167958795
"4-criterion alt","ESI-based","respiratory","AFL-only-NoCOPD",1.30359534907424,0.440492172948642,3.85786839923287,0.631985825773337
"4-criterion alt","CT-based","exacerbations","AFL-only-NoCOPD",1.28478299902099,0.944745258397394,1.74720893267404,0.110127505078099
"4-criterion alt","ESI-based","exacerbations","AFL-only-NoCOPD",0.989317694630618,0.824039208378993,1.18774627585329,0.908322627795384
"4-criterion alt","CT-based","all-cause","COPD-minor",1.90733132531712,1.6403236753726,2.21780179067987,4.79323073117483e-17
"4-criterion alt","ESI-based","all-cause","COPD-minor",1.89191939041596,1.51495944078804,2.36267644100757,1.86652250097639e-08
"4-criterion alt","CT-based","respiratory","COPD-minor",4.80416352784544,2.14493679539697,10.7602178543489,0.000136307736826768
"4-criterion alt","ESI-based","respiratory","COPD-minor",7.2143454803863,2.85336705944477,18.2404785735832,2.97398346635325e-05
"4-criterion alt","CT-based","exacerbations","COPD-minor",2.71836919629532,2.35536218785583,3.13732262726618,1.44297643753314e-42
"4-criterion alt","ESI-based","exacerbations","COPD-minor",2.83818759197859,2.29193329992044,3.51463491871289,1.1273616071467e-21
"4-criterion alt","CT-based","all-cause","COPD-major",2.59118188534158,2.35133585221188,2.85549321106399,2.91495457303077e-82
"4-criterion alt","ESI-based","all-cause","COPD-major",2.5774721101575,2.35324937846739,2.8230592726073,2.06231643015513e-92
"4-criterion alt","CT-based","respiratory","COPD-major",36.2658152782215,20.8523834063552,63.0723755728206,4.72424858016596e-37
"4-criterion alt","ESI-based","respiratory","COPD-major",33.0645231224106,20.5935830915368,53.0875411264258,1.57932228714773e-47
"4-criterion alt","CT-based","exacerbations","COPD-major",5.05332574123943,4.5928330373737,5.55998897396784,3.72942845820587e-242
"4-criterion alt","ESI-based","exacerbations","COPD-major",4.7754113026246,4.35027716486734,5.2420919966671,6.78416489917071e-237
"severe exac only","CT-based","exacerbations","AFL-only-NoCOPD",1.29251770790491,0.852476378251909,1.95970477055741,0.226909964929995
"severe exac only","ESI-based","exacerbations","AFL-only-NoCOPD",1.27124817824114,0.726538876977013,2.22434336536205,0.400457569086153
"severe exac only","CT-based","exacerbations","COPD-minor",3.48577209386085,2.9112802008488,4.17363024239182,4.61943039950269e-42
"severe exac only","ESI-based","exacerbations","COPD-minor",3.18746048997171,2.55989944637674,3.96886853876659,3.66637460743738e-25
"severe exac only","CT-based","exacerbations","COPD-major",6.52025580628793,5.75849005265273,7.38279225816269,2.79308713530807e-192
"severe exac only","ESI-based","exacerbations","COPD-major",5.45198110232316,4.83528886900155,6.14732619816087,8.67270798502817e-169
