"stratum","n_subj","esi_est","esi_p","ff_est","ff_p"
"Never",107,-12.2894687051828,0.299055060800241,-57.6285663740543,0.238021292059665
"GOLD0",4327,-4.70417544704256,0.00119572028313704,26.2495119478832,0.0160712541582017
"PRISm",1254,0.937853069000138,0.801131190047002,65.8990513397596,0.0114704274935931
"GOLD1",776,-1.1804857024814,0.728171252405866,96.209552027084,0.0251372260904999
"GOLD2",1900,3.03354259163864,0.174011770295295,112.826535501665,0.000231577368190908
"GOLD3",1152,0.617541201038876,0.67882507884453,109.652846405521,0.000863688638207866
"GOLD4",593,0.736846585700842,0.651556676627897,-3.05641276661087,0.953747755086176
