"model","esi_est","esi_se","esi_p","ff_est","ff_se","ff_p"
"years × ESI only",1.10039388214824,0.267261192192482,3.8595752734012e-05,NA,NA,NA
"years × FEV1/FVC only",NA,NA,NA,-5.20377905040734,3.11889404951807,0.095250299285647
"years × both",2.55641998792022,0.502364672549077,3.66042192482213e-07,20.0525495475641,5.85905760289277,0.00062274884010865
