"outcome","contrast","est_logHR","se_logHR","p_adj"
"all-cause mortality","Both-COPD - CT-only-COPD",0.279412692865148,0.128193915362289,0.0689984571529754
"all-cause mortality","Both-COPD - ESI-only-COPD",0.476036528033965,0.265091327233153,0.160935061946362
"all-cause mortality","CT-only-COPD - ESI-only-COPD",0.196623835168817,0.267806380947385,0.733419279251689
"respiratory mortality","Both-COPD - CT-only-COPD",0.743381816088656,0.638176610386511,0.464038115619018
"respiratory mortality","Both-COPD - ESI-only-COPD",0.227472990194645,1.07971746858915,0.975034298895438
"respiratory mortality","CT-only-COPD - ESI-only-COPD",-0.515908825894012,1.1244828233577,0.887101614735422
"exacerbations","Both-COPD - CT-only-COPD",0.45263541109025,0.146568146989423,0.00500420599109608
"exacerbations","Both-COPD - ESI-only-COPD",0.666956307008476,0.273598357077751,0.0366111968948988
"exacerbations","CT-only-COPD - ESI-only-COPD",0.214320895918226,0.274954559070798,0.707089427272098
