"model","esi_IRR","esi_LCI","esi_UCI","esi_p","ff_IRR","ff_LCI","ff_UCI","ff_p"
"ESI only",1.11432740505402,1.07634652717861,1.15364850844951,9.46086452165744e-10,NA,NA,NA,NA
"FEV1/FVC only",NA,NA,NA,NA,0.787132445550734,0.740702516681588,0.836472771301548,1.19572429314848e-14
"ESI + FEV1/FVC",1.01000519310329,0.959587001384817,1.06307243493654,0.703166050165191,0.797427600553164,0.728989859591667,0.872290292872059,7.63489376220152e-07
"ESI + FEV1/FVC, ESI<10",1.02573149601985,0.969340041209506,1.08540352940989,0.37851966665844,0.808577420854423,0.736778998044754,0.887372532673464,7.51324564519849e-06
