"model","esi_HR","esi_LCI","esi_UCI","esi_p","ff_HR","ff_LCI","ff_UCI","ff_p"
"ESI only",1.10255738961592,1.06646838331242,1.13986763828944,8.92865138343786e-09,NA,NA,NA,NA
"FEV1/FVC only",NA,NA,NA,NA,0.0716443678419299,0.0328239845156391,0.15637697614146,3.61477220491157e-11
"ESI + FEV1/FVC",1.0061912930003,0.944400503700057,1.07202496625432,0.848621201926352,0.0809705690952442,0.0184506574115311,0.355338723893398,0.000864925219791328
"ESI + FEV1/FVC (ESI<10)",0.996778907073946,0.925768578381897,1.07323602549153,0.931814802031556,0.0996617956923092,0.0194422380580865,0.510870893100931,0.00568492830080766
