"stratum","n","deaths","HR","LCI","UCI","p"
"Never",106,0,NA,NA,NA,NA
"GOLD0",4308,52,1.00663959456397,0.478559171047295,2.11744614804126,0.986083354545282
"PRISm",1238,44,1.20005989304334,0.623260968669621,2.31065928926247,0.585356211375009
"GOLD1",773,35,1.17331839719721,0.427666859611221,3.21903844140024,0.756254862335913
"GOLD2",1890,256,1.05451141702569,0.855168123130489,1.30032247292718,0.619554874093909
"GOLD3",1139,401,1.09730900824445,0.97720361054255,1.23217622876558,0.116399471086034
"GOLD4",589,375,0.970000738477997,0.880854707830688,1.06816870510354,0.535757176579775
