"group","bhatt_est_primary","bhatt_est_adj","bhatt_se_adj","bhatt_p_adj","esi_est_primary","esi_est_adj","esi_se_adj","esi_p_adj","bhatt_est_mainonly","bhatt_p_mainonly","esi_est_mainonly","esi_p_mainonly","n_subj"
"AFL-only-NoCOPD",3.62804904580632,-1.8377528670968,2.48883173578081,0.460286345724317,10.1475993576321,3.57401519886294,3.7307110097661,0.338082831054977,4.92921056817147,0.051050425732543,10.0551592923472,0.00812601150185584,9402
"COPD-minor",-0.475323776799545,-4.76470182750646,1.29172975197225,0.000226395748719788,-1.56000904322714,-6.14466307631402,1.57339087193731,9.45607765553287e-05,-1.23169150693176,0.34700707002347,-2.76149162704778,0.0840615654066658,9402
"COPD-major",1.2704353338283,-17.4140338492223,1.08930064341604,5.81350964917647e-57,1.08863934740729,-16.4183634664087,1.05080242315294,1.61667859871382e-54,-1.09217287741997,0.202985674942334,-1.08790290234976,0.192346688505098,9402
