"group","bhatt_HR","bhatt_LCI","bhatt_UCI","bhatt_p","esi_HR","esi_LCI","esi_UCI","esi_p"
"AFL-only-NoCOPD",0.89740826456515,0.62154702585165,1.2957050067231,0.563528717676531,0.91334211919344,0.571493698778219,1.45967283362208,0.704745496493774
"COPD-minor",1.90733132531712,1.6403236753726,2.21780179067987,4.79323073117483e-17,1.94348500668499,1.62525215016161,2.32402951802512,3.26236494505673e-13
"COPD-major",2.59118188534158,2.35133585221188,2.85549321106399,2.91495457303077e-82,2.39461796503384,2.18352330611971,2.6261204459745,8.80443562546924e-77
