"stratum","n","deaths","HR","LCI","UCI","p"
"Never",106,14,0.0334128244615362,0.00065584128145375,1.70226679848936,0.0901289939992657
"GOLD0",4308,631,1.10628102497078,0.92601383177326,1.32164084835189,0.265721128576232
"PRISm",1238,306,1.0206124164652,0.726592167674367,1.43360987220242,0.90631644364209
"GOLD1",773,153,1.3494459534624,1.00594065621656,1.81025030657875,0.0455563100067448
"GOLD2",1890,665,1.03548640274,0.898048893731105,1.19395736439765,0.631260062119781
"GOLD3",1139,624,1.11677586662743,1.01772139289229,1.22547127828082,0.0197718601951256
"GOLD4",589,446,1.01120171191515,0.925776131095549,1.10450990021756,0.804626638662428
