"stratum","n_FF","r_FF","n_PRM","r_PRM"
"Never",106,-0.396675542957595,90,0.279469878969257
"GOLD0",4308,-0.26167384485739,3395,0.067032856528907
"PRISm",1238,-0.276901633309311,915,0.047237617501693
"GOLD1",773,-0.608695188557392,623,0.285242765714587
"GOLD2",1890,-0.876038902956408,1583,0.53533239465224
"GOLD3",1141,-0.918660636820274,939,0.566563803156597
"GOLD4",590,-0.849143560209561,467,0.45470332300818
"All strata",10046,-0.890271071018743,8065,0.799119807604868
