"group","n_subj","est","se","p"
"Both-COPD",548,-1.39505678425225,1.89080205613019,0.460658739736799
"CT-only-COPD",538,0.188164510096253,1.95711418393998,0.923409681125041
"ESI-only-COPD",94,-3.70023509138564,4.02186954364743,0.357597031093873
