"rep","fold","k3","f3","k4","tl","f4","f_draft","f3_noCOPD","f4_noCOPD","f3_AFL-only","f4_AFL-only","f3_COPD-minor","f4_COPD-minor","f3_COPD-major","f4_COPD-major"
1,1,2,0.727263377837877,2,1.5,0.764200681600856,0.713373901844286,0.919413919413919,0.913443830570902,0.413533834586466,0.518987341772152,0.690140845070423,0.675862068965517,0.885964912280702,0.948509485094851
1,2,2,0.726943763951804,2,1.5,0.772997715617284,0.669809825688331,0.930513595166163,0.925318761384335,0.387323943661972,0.517647058823529,0.718826405867971,0.705035971223022,0.871111111111111,0.943989071038251
1,3,2,0.709731998703337,2,1.5,0.718423930052821,0.653928581667656,0.907967881408277,0.905824039653036,0.392857142857143,0.375,0.663656884875847,0.660714285714286,0.874446085672083,0.932157394843962
1,4,2,0.729924068711711,2,1.75,0.753921662246426,0.704386710437764,0.926888217522659,0.925589836660617,0.407407407407407,0.464646464646465,0.702702702702703,0.699266503667482,0.882697947214076,0.926183844011142
1,5,2,0.712132053153003,2,1.5,0.739292259648119,0.66928945906716,0.91661594643944,0.912431108389467,0.3886925795053,0.44311377245509,0.671462829736211,0.665105386416862,0.87175685693106,0.936518771331058
2,1,2,0.727378798141809,2,1.5,0.760987069086958,0.681932253727714,0.929001203369434,0.925589836660617,0.397111913357401,0.48,0.706467661691542,0.700729927007299,0.876934414148858,0.937628512679918
2,2,2,0.724671614335389,2,1.5,0.746399484846517,0.702137948004334,0.919315403422983,0.91579594345421,0.40590405904059,0.444444444444444,0.691588785046729,0.68649885583524,0.881878209831255,0.938858695652174
2,3,2,0.735754396194053,2,1.5,0.772417436964168,0.675552466227656,0.935425467712734,0.931556632344034,0.39568345323741,0.487179487179487,0.735802469135802,0.725060827250608,0.876106194690266,0.945872801082544
2,4,2,0.722585821382896,2,1.5,0.763309544837885,0.688114416544329,0.920634920634921,0.914671577655003,0.398550724637681,0.5125,0.693396226415094,0.678983833718245,0.877761413843888,0.94708276797829
2,5,2,0.696158330442574,2,1.5,0.722011402637701,0.663657109393522,0.896722325293754,0.89454094292804,0.391459074733096,0.436363636363636,0.623024830699774,0.620535714285714,0.873427091043671,0.936605316973415
3,1,2,0.726887994299239,2,1.5,0.76698090924215,0.697148824214367,0.924757281553398,0.916768665850673,0.401459854014599,0.521212121212121,0.701923076923077,0.683720930232558,0.879411764705882,0.946221919673247
3,2,2,0.70813547665495,2,1.5,0.737001268955525,0.654207198110381,0.909424724602203,0.906633906633907,0.392857142857143,0.451219512195122,0.655813953488372,0.651376146788991,0.874446085672083,0.938775510204082
3,3,2,0.717736287942878,2,1.5,0.759829134537008,0.680391937996897,0.919413919413919,0.917892156862745,0.390070921985816,0.487179487179487,0.688679245283019,0.688372093023256,0.872781065088757,0.945872801082544
3,4,2,0.721349710298201,2,1.5,0.745768030624269,0.678693895445814,0.921485088253195,0.919512195121951,0.39568345323741,0.44047619047619,0.692124105011933,0.687203791469194,0.876106194690266,0.935879945429741
3,5,2,0.731455594145624,2,1.5,0.754619104230944,0.702036522211251,0.926533090467517,0.921855921855922,0.408921933085502,0.460606060606061,0.707021791767555,0.696682464454976,0.883345561261922,0.939331970006817
4,1,2,0.719153757765005,2,1.5,0.739690041273732,0.66175505050505,0.913655848132272,0.91031941031941,0.407407407407407,0.444444444444444,0.672853828306265,0.665137614678899,0.882697947214076,0.938858695652174
4,2,2,0.719425357644626,2,1.75,0.760076331329182,0.702553871370821,0.918852959121416,0.916207951070336,0.39568345323741,0.510204081632653,0.687058823529412,0.680652680652681,0.876106194690266,0.933240611961057
4,3,2,0.714964916014958,2,1.5,0.753874555520346,0.664685671847167,0.926506024096385,0.925679758308157,0.374149659863946,0.457142857142857,0.696517412935323,0.697788697788698,0.862686567164179,0.934886908841672
4,4,2,0.726845504320037,2,1.5,0.757289838101759,0.674721919841295,0.922702373706634,0.919315403422983,0.40590405904059,0.473684210526316,0.696897374701671,0.690140845070423,0.881878209831255,0.946018893387314
4,5,2,0.725393871658602,2,1.5,0.743586457067545,0.703188961981444,0.919877675840979,0.91389913899139,0.407407407407407,0.44578313253012,0.691764705882353,0.67741935483871,0.882525697503671,0.937244201909959
5,1,2,0.727932556619977,2,1.5,0.763336090127167,0.690169833169782,0.924288310115082,0.921020656136088,0.407407407407407,0.496815286624204,0.697336561743341,0.688995215311005,0.882697947214076,0.946513202437373
5,2,2,0.719452971400154,2,1.5,0.747895523432052,0.676256251025905,0.916363636363636,0.911423335369579,0.41044776119403,0.479041916167665,0.666666666666667,0.660421545667447,0.884333821376281,0.940695296523517
5,3,2,0.710595760666704,2,1.5,0.747174756430694,0.69595076894369,0.911220715166461,0.908529048207664,0.387323943661972,0.472727272727273,0.672727272727273,0.666666666666667,0.871111111111111,0.940776038121171
5,4,2,0.725236651649963,2,1.5,0.760018654932639,0.66519079356684,0.922983626440267,0.921485088253195,0.404411764705882,0.48051948051948,0.692493946731235,0.692124105011933,0.881057268722467,0.945945945945946
5,5,2,0.722429720328146,2,1.5,0.746389842620968,0.685335518074018,0.926739926739927,0.92014742014742,0.380622837370242,0.434285714285714,0.71563981042654,0.699074074074074,0.866716306775875,0.932052161976664
