"group","deaths_all","deaths_resp","all_HR","all_LCI","all_UCI","resp_HR","resp_LCI","resp_UCI","exac_IRR","exac_LCI","exac_UCI"
"ESI-only-COPD",94,2,1.42832013725069,1.13851042201483,1.79190139591822,1.48261898552445,0.322722028474151,6.81130775804361,1.5702849025789,1.2492342938083,1.97384484839128
"CT-only-COPD",22,1,1.79650589047605,1.16711673421246,2.76530472051962,2.98171483515158,0.375433770555921,23.6809367068879,2.01084198350819,1.19911046380187,3.37207088479487
"Both-COPD",158,7,1.80098473203032,1.49804475249732,2.16518632010103,3.61017053415204,1.3655432815083,9.54442928477797,1.95544345463947,1.59888337249712,2.39151846223809
