"category","n_ref","n_noct","n_esi","f1_noct","f1_esi","gain"
"noCOPD",4357,3982,3941,0.933445257225087,0.9293805736322,-0.00406468359288648
"AFL-only",275,1108,543,0.397686189443239,0.471882640586797,0.0741964511435577
"COPD-minor",799,1174,1215,0.718702483527623,0.709036742800397,-0.0096657407272257
"COPD-major",3809,2976,3541,0.87722918201916,0.941224489795918,0.0639953077767584
