"group","n","n_mort","deaths","resp_deaths","rate_all_100py","rate_resp_100py","n_exac","rate_exac_100py","prior_exac_mean"
"Both-AFL-only",193,193,34,2,1.59435361180118,0.0937855065765401,181,13.3376013657704,0.0552486187845303
"ESI-only-COPD",82,82,16,0,1.81484483449323,0,74,14.6328717010713,0.175675675675676
"CT-only-COPD",350,350,75,2,2.07348549932067,0.0552929466485511,320,13.0816791409046,0.109375
"Both-COPD",3459,3457,1609,592,5.57414196472422,2.05089623562259,3099,62.2213518445991,0.73378509196515
