"schema","n_copd","n_nocopd","deaths_copd","deaths_nocopd","resp_copd","resp_nocopd","all_rr","all_rr_lo","all_rr_hi","resp_rr","resp_rr_lo","resp_rr_hi","exac_rr","exac_rr_lo","exac_rr_hi","all_HR","all_LCI","all_UCI","resp_HR","resp_LCI","resp_UCI","exac_IRR","exac_LCI","exac_UCI","c_all","c_all_lo","c_all_hi","c_resp","c_resp_lo","c_resp_hi","exac_AIC","B_eff","py_copd","py_nocopd","exac_copd","exac_nocopd","fy_copd","fy_nocopd","rate_all_copd","rate_all_nocopd","rate_resp_copd","rate_resp_nocopd","rate_exac_copd","rate_exac_nocopd"
"S1",4084,5156,1734,847,596,24,2.81871987897101,2.59487176591798,3.06370635572046,34.1917440297749,22.7566236894694,53.7926654377011,3.0939588314299,2.83378530943419,3.37269219942229,2.16644761666067,1.9837595900566,2.36595971571374,21.3061678855156,14.0917864630566,32.2139986406883,3.00180096203621,2.74194401674522,3.28628482589431,0.692898721277966,0.68254737292335,0.703250069632581,0.843886562967943,0.830737530324602,0.857035595611284,29835.0480472909,1000,35496.6707734429,48873.5468856947,15697,6810,29712.5999999998,39882.8000000001,4.88496515931659,1.73304385290669,1.67903070066475,0.0491063193267538,52.8294393624258,17.0750298374236
"S2",4608,4632,1864,717,602,18,3.03028834723822,2.77870045802474,3.30746497633732,38.9835324413394,24.4544335291306,66.2299901259025,3.96846157550674,3.60017675700877,4.34606175248855,2.45035987569947,2.23933187823517,2.68127452602957,26.2368966420512,16.3602372624796,42.0760857169467,3.26649068100073,2.99024595477063,3.56825543131051,0.701494200684152,0.691329492139483,0.711658909228822,0.8461418117979,0.833787171794598,0.858496451801202,29723.5246327532,1000,38958.9103353867,45411.3073237509,17376,5131,32044.1999999997,37551.1999999999,4.78452806804228,1.57890191288326,1.54521775588061,0.0396377049259396,54.2251015784453,13.66401073734
"S3",4150,5090,1712,869,570,50,2.91728816319958,2.68700896571006,3.16907612821315,16.8810788069819,12.6300548506521,23.0167923494313,4.32084065201109,3.96933449526849,4.72586617775306,2.7901265515271,2.56497801291182,3.03503816966408,14.3437222866677,10.709968028033,19.2103625798437,3.21394081750082,2.94786658452018,3.50403089225259,0.714342528408045,0.704272178169771,0.724412878646319,0.856239689004174,0.843620440976314,0.868858937032034,29672.4284397744,1000,34009.3278576318,50360.8898015058,16657,5850,27644.6999999998,41950.7000000001,5.03391306986922,1.72554536551103,1.67601077676721,0.0992833927221536,60.2538642126706,13.9449401321074
"S4",4756,4484,1877,704,601,19,2.95592849239707,2.70919617783827,3.2279681148674,35.068983788441,22.2594151640649,58.6606411114022,4.4460512821499,4.05743180403078,4.8453394993552,2.61266986426642,2.39004966863456,2.85602592666856,26.645501456408,16.8375844922325,42.1665440307646,3.41283675943073,3.13012000778954,3.7210888775945,0.707481784866457,0.697426206826312,0.717537362906601,0.851838430315799,0.83950206109419,0.864174799537407,29648.6509369623,1000,40011.1047227926,44359.112936345,17970,4537,32788.9999999997,36806.3999999998,4.6911976387664,1.58704706518869,1.50208299461833,0.0428322361343539,54.8049650797529,12.3266605807686
