"group","n","pct_visual_emph","pct_wall_thick","mean_ESI","sd_ESI","mean_LAA950","sd_LAA950","n_LAA950","mean_PRM","sd_PRM"
"Both-noCOPD",3856,23.9367219917012,14.4709543568465,0.885853215767635,0.336278477998922,2.01648696030691,2.67256818095201,3848,0.723138296629932,1.43619430059803
"ESI-only-COPD",501,1.19760479041916,0.598802395209581,0.965389221556886,0.639317212503771,1.23697595540519,2.56011943950786,501,0.453599481084906,2.26816384988142
"CT-only-COPD",85,100,100,0.902705882352941,0.203050475986439,1.90866699611765,2.90455341856743,85,1.38813688153846,2.75808800437502
"Both-COPD",714,50.5602240896359,45.3781512605042,0.955679271708683,0.421828311280865,1.59802591028992,2.51758299329571,714,0.784940307879859,1.92272862770911
