"outcome","category","ratio_S4_over_S2","lo","hi","p_two_sided","B_eff"
"all-cause mortality","AFL-only",1.0662677408981,0.841374467913885,1.3580775482196,0.606,1000
"all-cause mortality","COPD-minor",0.980020799207634,0.858694882049831,1.11691671792868,0.768,1000
"all-cause mortality","COPD-major",1.10149412375502,1.06427831960435,1.14262230441563,0,1000
"respiratory mortality","AFL-only",0.937002035750117,0.436880196868514,2.51511374879755,0.807424593967517,862
"respiratory mortality","COPD-minor",0.827711236685174,0.395114813811915,1.68792774749354,0.559164733178654,862
"respiratory mortality","COPD-major",1.10158957638148,0.861209498506495,1.47287711855743,0.341067285382831,862
"exacerbations","AFL-only",0.964732364234496,0.770672610944697,1.22528444536389,0.782,1000
"exacerbations","COPD-minor",1.00006106474899,0.874712422761588,1.15823851287799,0.99,1000
"exacerbations","COPD-major",1.1239626934649,1.07930886689905,1.1761022211638,0,1000
