"category","est_noct","est_esi","diff_noct_minus_esi","lo","hi","p_boot","B_eff"
"AFL-only",-5.00786137209236,-4.46613515638627,-0.541726215706088,-3.0332212732005,1.79611743514297,0.682,1000
"COPD-minor",-0.71919078675493,-0.737506609545018,0.0183158227900883,-0.39555516802688,0.489221983984516,0.978,1000
"COPD-major",-5.25474636827528,-5.1341210319417,-0.120625336333584,-1.55786110841858,1.42663997181719,0.916,1000
