"group","deaths_all","deaths_resp","all_HR","all_LCI","all_UCI","resp_HR","resp_LCI","resp_UCI","exac_IRR","exac_LCI","exac_UCI","all_few_events","resp_few_events"
"ESI-only-COPD",16,0,1.26814799768199,0.699751707814297,2.29824282822847,1.7767065240211e-06,0,Inf,1.00270054394179,0.646546608814475,1.5550439320449,FALSE,TRUE
"CT-only-COPD",75,2,1.20099317963457,0.800290330427588,1.80232668406489,0.530511013473091,0.0746956315532394,3.76785000091535,0.909638412508771,0.673105770466265,1.22928977557019,FALSE,TRUE
"Both-COPD",1609,592,3.48849506809814,2.47975849148078,4.90757381493145,17.99961411821,4.48601314206016,72.221390830718,3.53339352789212,2.76030929856337,4.5229966907867,FALSE,FALSE
