"stratum","visitnum","n","mean_dESI","sd_dESI"
"PRISm",2,601,0.103610648918469,0.553192650125685
"PRISm",3,192,0.232864583333333,0.655672487516206
"GOLD0",2,2390,0.0119351464435147,0.492805363597873
"GOLD0",3,903,0.0524695459579181,0.488031866794804
