"schema","major_to_aflonly","minor_to_nocopd","nocopd_to_minor","aflonly_kept","concordant","n_major","ct_only_major","ct_only_pct"
"S3",833,75,579,275,7753,3809,833,21.8692570228406
"S4",350,70,612,193,8126,3809,833,21.8692570228406
