"schema","type","outcome","est","est_mdcopd","ratio_of_ratios","lo","hi","p_boot","B_eff"
"S3","crude","all",1.75125951100412,1.89720527905028,0.923073285923377,0.839422055030215,1.01800909534666,0.112,500
"S3","crude","resp",3.63930113490357,4.1470224483483,0.877569673237013,0.628615156610705,1.68947250675669,0.588,500
"S3","crude","exac",3.36726445763126,3.6798711366974,0.915049558135696,0.8398362168143,1.01175703902578,0.064,500
"S3","adjusted","all",2.00574921729893,2.02360803563639,0.991174764073398,0.892658773944829,1.09645373699662,0.9,500
"S3","adjusted","resp",5.19378675397937,5.11687527583337,1.01503094642726,0.728558821295997,1.9637499797534,0.928,500
"S3","adjusted","exac",2.43724163305116,2.47303700299141,0.98552574429863,0.894236760056511,1.10013484295142,0.768,500
"S4","crude","all",1.76347029151435,1.89720527905028,0.929509479541993,0.840956263983735,1.0270611100695,0.136,500
"S4","crude","resp",3.83502985782945,4.1470224483483,0.924767084238208,0.648745952269082,1.79194116173385,0.812,500
"S4","crude","exac",3.3194839684217,3.6798711366974,0.902065274872874,0.827183163257415,0.996599393809095,0.04,500
"S4","adjusted","all",1.96724516456159,2.02360803563639,0.972147337783686,0.877603079865646,1.07302848620057,0.612,500
"S4","adjusted","resp",5.28306948428352,5.11687527583337,1.03247962858017,0.716534326719363,2.02490638369009,0.856,500
"S4","adjusted","exac",2.36195813596572,2.47303700299141,0.955084025475022,0.863605281215796,1.06480502923555,0.384,500
