"schema","coding","n_groups","n_mort","n_exac","c_all","c_all_lo","c_all_hi","aic_all","c_resp","c_resp_lo","c_resp_hi","aic_resp","aic_exac"
"S1","binary",2,9238,8177,0.631515386663214,0.622166654540829,0.640864118785599,44049.7211864548,0.765749682659647,0.756407664086372,0.775091701232923,10139.5040730827,30553.0926813966
"S1","groups",2,9238,8177,0.631515386663214,0.622166654540829,0.640864118785599,44049.7211864548,0.765749682659647,0.756407664086372,0.775091701232923,10139.5040730827,30553.0926813966
"S2","binary",2,9238,8177,0.638335371080832,0.629396891414328,0.647273850747336,43974.0776774726,0.749592577405732,0.741357964916146,0.757827189895318,10208.6079009414,30303.4401110219
"S2","groups",4,9238,8177,0.650008571311938,0.640504314092876,0.659512828531,43901.5203130758,0.784228857241768,0.775405089912167,0.793052624571369,10053.3464303724,30272.8884565081
"S3","binary",2,9238,8177,0.641698499688578,0.632525255575898,0.650871743801257,43971.1209230625,0.754357129792774,0.743324874012786,0.765389385572762,10262.016858808,30149.9646155665
"S3","groups",4,9238,8177,0.669499665787705,0.659549506073898,0.679449825501513,43712.2538653621,0.820238834249131,0.810335417455584,0.830142251042679,9900.55063574502,30003.8552382996
"S4","binary",2,9238,8177,0.636240690202859,0.627389214132831,0.645092166272887,44010.7526648751,0.742462624991961,0.734221806420927,0.750703443562995,10248.423897739,30177.6686822528
"S4","groups",4,9238,8177,0.659129693153294,0.649463086964562,0.668796299342025,43833.5025994599,0.798560827862643,0.789540504325146,0.807581151400139,9972.4256264124,30094.4587671945
