"schema","c_allcause","c_resp","exac_AIC"
"S1",0.694456863859373,0.845400288996412,30326.0927093123
"S2",0.703408234170053,0.852709870553227,30167.7208193475
"S3",0.721910822938944,0.875508723925984,29970.3577539369
"S4",0.707918789285888,0.858074241105896,30065.7834868314
