"stratum","group","deaths_all","deaths_resp","all_HR","all_LCI","all_UCI","resp_HR","resp_LCI","resp_UCI","exac_IRR","exac_LCI","exac_UCI"
"Preserved spirometry","ESI-only-COPD",126,5,1.59161140592078,1.29918230449684,1.94986250866326,3.63087572950988,1.19627991160944,11.0202122724,1.82274552611885,1.47692503778756,2.24953952839967
"Preserved spirometry","CT-only-COPD",12,0,1.2503704464629,0.703359321771092,2.22279879571519,NA,NA,NA,1.87984873593086,1.0544890432244,3.35122616274432
"Preserved spirometry","Both-COPD",168,8,1.93825414672483,1.6162718967969,2.32437942201508,5.09885661608262,1.91923941477759,13.5461676074334,2.10010003263394,1.71771513736339,2.56760859302831
"Airflow limitation","ESI-only-COPD",16,0,1.26814799768199,0.699751707814297,2.29824282822847,1.7767065240211e-06,0,Inf,1.00270054394179,0.646546608814475,1.5550439320449
"Airflow limitation","CT-only-COPD",75,2,1.20099317963457,0.800290330427588,1.80232668406489,0.530511013473091,0.0746956315532394,3.76785000091535,0.909638412508771,0.673105770466265,1.22928977557019
"Airflow limitation","Both-COPD",1609,592,3.48849506809814,2.47975849148078,4.90757381493145,17.99961411821,4.48601314206016,72.221390830718,3.53339352789212,2.76030929856337,4.5229966907867
