"schema","category","est_mL_yr","se","p","lo","hi","n_subj"
"S1","COPD",1.65820959975379,0.924812315317396,0.0730045603560301,-0.154422538268306,3.47084173777589,4084
"S2","AFL-only",-0.835383395101421,2.27772201656798,0.713805348714205,-5.29971854757467,3.62895175737182,275
"S2","COPD-minor",-3.04860903843714,1.71335878082556,0.0752228750539612,-6.40679224885525,0.309574171980959,799
"S2","COPD-major",1.38833326499528,0.98361911160919,0.158146969972732,-0.539560193758734,3.31622672374929,3809
"S3","AFL-only",-0.947057943627291,1.33341382989588,0.477568206524225,-3.56054905022321,1.66643316296863,1108
"S3","COPD-minor",1.64933610940605,1.36627875161979,0.22739806916245,-1.02857024376873,4.32724246258084,1303
"S3","COPD-major",2.77642779601556,1.13465849194876,0.0144275441207994,0.552497151795987,5.00035844023513,2976
"S4","AFL-only",-1.62648082105123,1.76062725465532,0.355612806839865,-5.07731024017565,1.82434859807319,543
"S4","COPD-minor",1.69668165709936,1.35311996121897,0.209911028410587,-0.955433466889826,4.34879678108854,1341
"S4","COPD-major",2.58815463243762,1.03741489464488,0.0126208984985044,0.554821438933652,4.62148782594159,3541
