"group","n","n_mort","deaths","resp_deaths","rate_all_100py","rate_resp_100py","n_exac","rate_exac_100py","prior_exac_mean"
"Both-noCOPD",3856,3856,573,14,1.51061633864073,0.0369086016421819,3411,11.9104213794139,0.111404280269716
"ESI-only-COPD",501,501,94,2,2.1049679045044,0.0447865511596682,424,29.0269255554621,0.351415094339623
"CT-only-COPD",85,85,22,1,3.24506707804638,0.147503049002108,72,29.417456938262,0.277777777777778
"Both-COPD",714,714,158,7,2.72487495732755,0.120722308236031,596,42.4046512672008,0.493288590604026
