"outcome","c_fixedratio","c_mdcopd","lrt_chisq","lrt_df","lrt_p"
"ALL-CAUSE MORTALITY",0.692898721277966,0.703202953389844,122.124999446256,2,3.02616998229033e-27
"RESPIRATORY MORTALITY",0.843886562967943,0.853890937087931,76.1276500678905,2,2.9450374896468e-17
"EXACERBATIONS",NA,NA,158.860284125472,2,3.19100588663235e-35
