"table","model","term","scale","est_full","LCI_full","UCI_full","p_full","est_min","LCI_min","UCI_min","p_min","p_crosses_05","direction_change","sensitive"
"S3a","respiratory CT","COPD-major","HR",12.256,9.303,16.148,5.47e-71,14.092,10.72,18.523,3.38e-80,FALSE,FALSE,FALSE
"S3a","respiratory ESI","COPD-major","HR",10.477,8.164,13.445,4.18e-76,11.991,9.364,15.354,2.5e-86,FALSE,FALSE,FALSE
"S3a","exacerbations CT","COPD-major","IRR",4.818,4.375,5.307,2.55e-223,4.907,4.468,5.389,1.07e-242,FALSE,FALSE,FALSE
"S3a","exacerbations ESI","COPD-major","IRR",4.254,3.873,4.673,8.32e-201,4.348,3.967,4.765,1.01e-216,FALSE,FALSE,FALSE
"S4a CVD","cause-spec CT","AFL-only-NoCOPD","HR",0.994,0.464,2.129,0.988,0.994,0.464,2.129,0.988,FALSE,FALSE,FALSE
"S4a CVD","cause-spec ESI","AFL-only-NoCOPD","HR",0.721,0.23,2.265,0.575,0.755,0.241,2.372,0.631,FALSE,FALSE,FALSE
"S4a CVD","cause-spec CT","COPD-minor","HR",1.667,1.212,2.291,0.00166,2.005,1.464,2.746,1.48e-05,FALSE,FALSE,FALSE
"S4a CVD","cause-spec ESI","COPD-minor","HR",1.872,1.296,2.706,0.000844,2.241,1.555,3.229,1.51e-05,FALSE,FALSE,FALSE
"S4a CVD","cause-spec CT","COPD-major","HR",2.336,1.897,2.876,1.34e-15,2.502,2.042,3.066,9.03e-19,FALSE,FALSE,FALSE
"S4a CVD","cause-spec ESI","COPD-major","HR",2.235,1.832,2.726,2.22e-15,2.356,1.94,2.862,5.37e-18,FALSE,FALSE,FALSE
"S4b Cancer","cause-spec CT","AFL-only-NoCOPD","HR",1.163,0.54,2.503,0.7,1.172,0.545,2.522,0.685,FALSE,FALSE,FALSE
"S4b Cancer","cause-spec ESI","AFL-only-NoCOPD","HR",1.605,0.706,3.652,0.259,1.716,0.755,3.903,0.198,FALSE,FALSE,FALSE
"S4b Cancer","cause-spec CT","COPD-minor","HR",2.319,1.669,3.222,5.36e-07,2.708,1.957,3.748,1.87e-09,FALSE,FALSE,FALSE
"S4b Cancer","cause-spec ESI","COPD-minor","HR",2.571,1.771,3.733,6.84e-07,2.97,2.052,4.298,7.94e-09,FALSE,FALSE,FALSE
"S4b Cancer","cause-spec CT","COPD-major","HR",2.054,1.629,2.591,1.2e-09,2.407,1.919,3.018,2.83e-14,FALSE,FALSE,FALSE
"S4b Cancer","cause-spec ESI","COPD-major","HR",1.88,1.509,2.342,1.78e-08,2.173,1.754,2.692,1.25e-12,FALSE,FALSE,FALSE
"S4c Other","cause-spec CT","AFL-only-NoCOPD","HR",0.597,0.245,1.456,0.257,0.595,0.244,1.449,0.253,FALSE,FALSE,FALSE
"S4c Other","cause-spec ESI","AFL-only-NoCOPD","HR",0.619,0.197,1.939,0.41,0.653,0.208,2.047,0.465,FALSE,FALSE,FALSE
"S4c Other","cause-spec CT","COPD-minor","HR",1.743,1.312,2.315,0.000126,1.987,1.501,2.63,1.59e-06,FALSE,FALSE,FALSE
"S4c Other","cause-spec ESI","COPD-minor","HR",1.821,1.306,2.539,0.000411,2.066,1.486,2.873,1.58e-05,FALSE,FALSE,FALSE
"S4c Other","cause-spec CT","COPD-major","HR",1.922,1.583,2.333,3.98e-11,2.14,1.772,2.584,2.6e-15,FALSE,FALSE,FALSE
"S4c Other","cause-spec ESI","COPD-major","HR",1.799,1.495,2.166,5.24e-10,1.983,1.656,2.375,1.06e-13,FALSE,FALSE,FALSE
"S6a","cont ESI alone","ESI_v1post","HR",1.1,1.071,1.131,7.63e-12,1.251,1.235,1.267,2.51e-260,FALSE,FALSE,FALSE
"S6a","cont ESI + FEV1/FVC","ESI_v1post","HR",1.068,1.022,1.117,0.00377,1.1,1.064,1.137,1.83e-08,FALSE,FALSE,FALSE
"S6b","cont ESI alone","ESI_v1post","HR",1.103,1.066,1.143,3.46e-08,1.414,1.389,1.438,0,FALSE,FALSE,FALSE
"S6b","cont ESI + FEV1/FVC","ESI_v1post","HR",0.99,0.926,1.058,0.77,0.965,0.916,1.016,0.174,FALSE,FALSE,FALSE
"S6c","cont ESI alone","ESI_v1post","IRR",1.111,1.072,1.152,9.46e-09,1.33,1.306,1.355,7.55e-204,FALSE,FALSE,FALSE
"S6c","cont ESI + FEV1/FVC","ESI_v1post","IRR",1.007,0.955,1.062,0.796,0.978,0.94,1.018,0.281,FALSE,FALSE,FALSE
"S5","FEV1 decline CT","AFL-only-NoCOPD","mL/yr",3.668,-1.765,9.102,0.186,4.137,-1.309,9.583,0.137,FALSE,FALSE,FALSE
"S5","FEV1 decline ESI","AFL-only-NoCOPD","mL/yr",10.176,1.943,18.408,0.0154,9.8,1.543,18.057,0.02,FALSE,FALSE,FALSE
"S5","FEV1 decline CT","COPD-minor","mL/yr",-0.431,-3.332,2.469,0.771,-1.499,-4.406,1.408,0.312,FALSE,FALSE,FALSE
"S5","FEV1 decline ESI","COPD-minor","mL/yr",-1.578,-5.118,1.961,0.382,-2.677,-6.228,0.873,0.139,FALSE,FALSE,FALSE
"S5","FEV1 decline CT","COPD-major","mL/yr",1.383,-0.504,3.269,0.151,0.93,-0.96,2.82,0.335,FALSE,FALSE,FALSE
"S5","FEV1 decline ESI","COPD-major","mL/yr",1.184,-0.651,3.019,0.206,0.876,-0.964,2.717,0.351,FALSE,FALSE,FALSE
"S6d","cont ESI alone (GOLD 0)","ESI_v1post","mL/yr",-5.416,-8.229,-2.603,0.000163,-5.719,-8.567,-2.87,8.44e-05,FALSE,FALSE,FALSE
"S6d","cont ESI + FEV1/FVC (GOLD 0)","ESI_v1post","mL/yr",-4.752,-7.634,-1.87,0.00124,-4.991,-7.911,-2.072,0.000811,FALSE,FALSE,FALSE
