"criterion","rule","n_aflonly","n_minor","n_major","ct_only_recovered","macroF1_insample","macroF1_heldout","afl_all_HR","afl_all_lo","afl_all_hi","afl_resp_HR","afl_resp_lo","afl_resp_hi","c_index","reach_preserved"
"MD-COPD","reference (CT available)",275,799,3809,833,1,NA,0.867600183260154,0.650048546832684,1.15795978878913,1.38642953294094,0.318469737528234,6.03569703272171,0.703202953389844,NA
"none","no replacement",1108,1303,2976,0,0.72103104099255,0.721207285746356,1.12352398978358,0.967565162818,1.30462133624447,6.37340468816934,3.2916811774236,12.3402860513278,0.720808140104198,0
"FEV1/FVC","FEV1/FVC <= 0.62, k=2",608,1303,3476,443,0.760405267543855,0.75781148375098,0.951521491988497,0.778381597042791,1.16317388945957,1.53074955836473,0.493171152709521,4.75127995131124,0.712941566567851,0
"FEV1pp","FEV1pp <= 67.5, k=2",771,1346,3313,300,0.742952944068211,0.74192588650746,0.91015910326707,0.757508996352767,1.09357063381217,2.38618222319842,0.958182493356116,5.94236029335594,0.719664505452206,318
"ESI","ESI >= 1.5, k=2",543,1341,3541,483,0.752739959799809,0.751877309008576,0.959197243490613,0.779645695084945,1.18009931654884,1.77489415809137,0.564419975706564,5.58139223985344,0.712419023328744,183
"LAA-950","LAA-950 >= 3.5, k=2",521,1406,3563,490,0.740600357867532,0.733216473907037,1.10013829877291,0.891317776642505,1.35788190042169,2.1223277134589,0.675049252624866,6.67251301412635,0.707711501035194,853
"FEV1/FVC+ESI","FEV1/FVC<=0.62 & ESI>=3.75, k=2",604,1304,3480,445,0.759722999735094,0.757098334681511,0.949348396748506,0.776011407084145,1.16140351827487,1.53547218268071,0.494685256139131,4.76600989119263,0.713003613099118,13
