"fit","term","chisq","df","p"
"cox_bhatt_all","bhatt_grp",9.10371976894356,3,0.0279431920911838
"cox_bhatt_all","age_visit",15.0173033948547,1,0.000106529915158319
"cox_bhatt_all","gender",0.0214132122847704,1,0.883658879068828
"cox_bhatt_all","race",0.247429676444709,1,0.618890764488893
"cox_bhatt_all","SmokCigNow",1.07282082511667,1,0.300309156416787
"cox_bhatt_all","ATS_PackYears",0.221507134675509,1,0.637893949105045
"cox_bhatt_all","BMI",19.9436725274166,1,7.97574686693221e-06
"cox_bhatt_all","GLOBAL",55.6074999367527,9,9.32775030066504e-09
"cox_esi_all","esi_grp",13.0027626063594,3,0.00463063495084735
"cox_esi_all","age_visit",15.6098616926689,1,7.78475240985422e-05
"cox_esi_all","gender",0.00657101385525421,1,0.935392812529159
"cox_esi_all","race",0.28244929458046,1,0.59510033779323
"cox_esi_all","SmokCigNow",0.986384139877498,1,0.320627731000957
"cox_esi_all","ATS_PackYears",0.0504289426672954,1,0.822318555576476
"cox_esi_all","BMI",20.1499707299202,1,7.16013432034869e-06
"cox_esi_all","GLOBAL",59.5590167759352,9,1.63028089073554e-09
"cox_bhatt_resp","bhatt_grp",3.97488518182136,3,0.264188878382733
"cox_bhatt_resp","age_visit",2.00257832545404,1,0.15703189499643
"cox_bhatt_resp","gender",0.347149512081893,1,0.555731174388739
"cox_bhatt_resp","race",1.06363559822383,1,0.30238745156447
"cox_bhatt_resp","SmokCigNow",0.640872041420728,1,0.423395194671082
"cox_bhatt_resp","ATS_PackYears",0.811635250458957,1,0.367637229660832
"cox_bhatt_resp","BMI",9.91763438249825,1,0.00163702653482516
"cox_bhatt_resp","GLOBAL",23.9029814896656,9,0.00445735928965368
"cox_esi_resp","esi_grp",3.25701187859959,3,0.353670745215404
"cox_esi_resp","age_visit",2.09641312387892,1,0.147645143890361
"cox_esi_resp","gender",0.363149615533257,1,0.546762201776348
"cox_esi_resp","race",1.18958927476092,1,0.275412420085099
"cox_esi_resp","SmokCigNow",0.671507210891814,1,0.412526617801154
"cox_esi_resp","ATS_PackYears",0.614624406505826,1,0.433051933364889
"cox_esi_resp","BMI",10.0518681054383,1,0.00152193531745467
"cox_esi_resp","GLOBAL",23.6578238985056,9,0.00487635843546255
"cox_disc_all","discord",7.25805169057959,3,0.0641121319102397
"cox_disc_all","age_visit",27.6698639845518,1,1.43886901540315e-07
"cox_disc_all","gender",0.013873868625591,1,0.906236123388653
"cox_disc_all","race",0.148777004233069,1,0.699706847098799
"cox_disc_all","SmokCigNow",8.3702381381204,1,0.00381415637765402
"cox_disc_all","ATS_PackYears",0.00622837370907595,1,0.937096218324534
"cox_disc_all","BMI",0.88061826271362,1,0.348032398173189
"cox_disc_all","GLOBAL",38.7828469368297,9,1.26068687346088e-05
"cox_disc_resp","discord",3.05256086060018,3,0.383592106375717
"cox_disc_resp","age_visit",2.62199761127976,1,0.105391687589558
"cox_disc_resp","gender",0.0585299276913911,1,0.808834719683069
"cox_disc_resp","race",0.431463924186187,1,0.511271495902447
"cox_disc_resp","SmokCigNow",0.609406585118374,1,0.435011328841184
"cox_disc_resp","ATS_PackYears",0.0467194018431618,1,0.828873387965422
"cox_disc_resp","BMI",0.789032563167283,1,0.374392817525135
"cox_disc_resp","GLOBAL",5.74191851933465,9,0.76544445285224
