"class_var","outcome","group","HR_0_5y","LCI_0_5y","UCI_0_5y","p_0_5y","HR_5plus","LCI_5plus","UCI_5plus","p_5plus"
"bhatt_grp","vital_status","AFL-only-NoCOPD",0.841049573113734,0.394499848941453,1.79306629985496,0.654030543822618,0.90994537340281,0.597768519604517,1.38515253885398,0.659793076380293
"bhatt_grp","vital_status","COPD-minor",2.19334410905945,1.69177179356124,2.84362134364409,3.0522405083659e-09,1.79030361500261,1.48643706410809,2.15628842369767,8.42298130562961e-10
"bhatt_grp","vital_status","COPD-major",3.00193253523871,2.51635363806808,3.58121323243078,2.72892561160115e-34,2.41933850559427,2.15264733547893,2.71907000658279,9.94507696306029e-50
"esi_grp","vital_status","AFL-only-NoCOPD",0.395251787676071,0.0980803367391306,1.59281646918329,0.1917765215165,1.0707020305164,0.649911644211829,1.76393644945727,0.788545937520293
"esi_grp","vital_status","COPD-minor",2.33914140688993,1.74071593632475,3.1432943234721,1.73435812607946e-08,1.77279964498812,1.41463557438558,2.22164537508893,6.61507323259199e-07
"esi_grp","vital_status","COPD-major",2.76164136395691,2.33906663652944,3.26055825174511,4.07875692175418e-33,2.23859566422681,2.00262109548541,2.50237579100324,1.23448839203897e-45
"bhatt_grp","event_resp","AFL-only-NoCOPD",1.02480188139882,0.137063325890162,7.66228959714701,0.980957961725605,1.92570676608579,0.685513006620931,5.40959327267617,0.213696678841969
"bhatt_grp","event_resp","COPD-minor",4.10661972818881,2.10276455478574,8.02007317156241,3.52894815413363e-05,2.56115220850669,1.45067234885913,4.52169688096511,0.00118392557914801
"bhatt_grp","event_resp","COPD-major",18.3849297785271,11.5549096638875,29.2521233651649,1.05936562327334e-34,11.5628841241067,8.22624283159753,16.2528984379075,4.30968978269401e-45
"esi_grp","event_resp","AFL-only-NoCOPD",1.46290599457459,0.197998534635171,10.8086352906882,0.70927919057648,2.26296028163306,0.702031040145205,7.29453392144825,0.171452882366663
"esi_grp","event_resp","COPD-minor",3.88384451184881,1.85846292754528,8.11651820902445,0.000308631302127647,2.36036556923367,1.18460133986187,4.7031228422158,0.0146231927157879
"esi_grp","event_resp","COPD-major",14.9337238230023,9.92398100290111,22.4724439876004,1.89425913923529e-38,10.0854099145874,7.38332596605814,13.7763785064959,8.49140842834322e-48
"discord","vital_status","Both-COPD",2.31620659659141,1.66886702778244,3.21464377256122,5.10600304666179e-07,1.88434149863627,1.47240692016006,2.41152281673383,4.80311356156215e-07
"discord","vital_status","Bhatt-only-COPD",1.6414988053981,1.14287751783674,2.35766150446603,0.00729837487834545,1.48656174105386,1.15719293109898,1.90967793751245,0.00191946095321615
"discord","vital_status","ESI-only-COPD",1.62322441594298,0.715710444224064,3.68145739073293,0.24628860272254,1.109035904477,0.591222236787522,2.08036937869974,0.747111556399935
"discord","event_resp","Both-COPD",3.72514240151248,1.51516177956419,9.15855065690583,0.00416638013718613,2.74025485157591,1.26342973613012,5.94334329551663,0.0107133602779508
"discord","event_resp","Bhatt-only-COPD",3.35420790637179,1.40030584167227,8.03446671745025,0.00661936222358407,2.03162011789363,0.957071362914344,4.31261498710156,0.0649338903967102
"discord","event_resp","ESI-only-COPD",5.44156332891344,1.23310138904297,24.0131198664505,0.0253124728642957,1.49634971579153,0.203886122795126,10.9819267797805,0.691880918974074
